mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin,description
13.0,8,302.0,140.0,4294,16.0,72,1,fordgrantorino(sw)
14.0,8,318.0,150.0,4077,14.0,72,1,plymouthsatellitecustom(sw)
18.0,4,121.0,112.0,2933,14.5,72,2,volvo145e(sw)
22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen411(sw)
21.0,4,120.0,87.0,2979,19.5,72,2,peugeot504(sw)
26.0,4,96.0,69.0,2189,18.0,72,2,renault12(sw)
22.0,4,122.0,86.0,2395,16.0,72,1,fordpinto(sw)
28.0,4,97.0,92.0,2288,17.0,72,3,datsun510(sw)
23.0,4,120.0,97.0,2506,14.5,72,3,toyoutacoronamarkii(sw)
28.0,4,98.0,80.0,2164,15.0,72,1,dodgecolt(sw)
27.0,4,97.0,88.0,2100,16.5,72,3,toyotacorolla1600(sw)
13.0,8,350.0,175.0,4100,13.0,73,1,buickcentury350
14.0,8,304.0,150.0,3672,11.5,73,1,amcmatador
13.0,8,350.0,145.0,3988,13.0,73,1,chevroletmalibu
14.0,8,302.0,137.0,4042,14.5,73,1,fordgrantorino
15.0,8,318.0,150.0,3777,12.5,73,1,dodgecoronetcustom
12.0,8,429.0,198.0,4952,11.5,73,1,mercurymarquisbrougham
13.0,8,400.0,150.0,4464,12.0,73,1,chevroletcapriceclassic
13.0,8,351.0,158.0,4363,13.0,73,1,fordltd
14.0,8,318.0,150.0,4237,14.5,73,1,plymouthfurygransedan
13.0,8,440.0,215.0,4735,11.0,73,1,chryslernewyorkerbrougham
12.0,8,455.0,225.0,4951,11.0,73,1,buickelectra225custom
13.0,8,360.0,175.0,3821,11.0,73,1,amcambassadorbrougham
18.0,6,225.0,105.0,3121,16.5,73,1,plymouthvaliant
16.0,6,250.0,100.0,3278,18.0,73,1,chevroletnovacustom
18.0,6,232.0,100.0,2945,16.0,73,1,amchornet
18.0,6,250.0,88.0,3021,16.5,73,1,fordmaverick
23.0,6,198.0,95.0,2904,16.0,73,1,plymouthduster
26.0,4,97.0,46.0,1950,21.0,73,2,volkswagensuperbeetle
11.0,8,400.0,150.0,4997,14.0,73,1,chevroletimpala
12.0,8,400.0,167.0,4906,12.5,73,1,fordcountry
13.0,8,360.0,170.0,4654,13.0,73,1,plymouthcustomsuburb
12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobilevistacruiser
18.0,6,232.0,100.0,2789,15.0,73,1,amcgremlin
20.0,4,97.0,88.0,2279,19.0,73,3,toyotacarina
21.0,4,140.0,72.0,2401,19.5,73,1,chevroletvega
22.0,4,108.0,94.0,2379,16.5,73,3,datsun610
18.0,3,70.0,90.0,2124,13.5,73,3,maxdarx3
19.0,4,122.0,85.0,2310,18.5,73,1,fordpinto
21.0,6,155.0,107.0,2472,14.0,73,1,mercurycapriv6
26.0,4,98.0,90.0,2265,15.5,73,2,fiat124sportcoupe
15.0,8,350.0,145.0,4082,13.0,73,1,chevroletmontecarlos
16.0,8,400.0,230.0,4278,9.50,73,1,pontiacgrandprix
29.0,4,68.0,49.0,1867,19.5,73,2,fiat128
24.0,4,116.0,75.0,2158,15.5,73,2,opelmanta
20.0,4,114.0,91.0,2582,14.0,73,2,audi100ls
19.0,4,121.0,112.0,2868,15.5,73,2,volvo144ea
15.0,8,318.0,150.0,3399,11.0,73,1,dodgedartcustom
24.0,4,121.0,110.0,2660,14.0,73,2,saab99le
20.0,6,156.0,122.0,2807,13.5,73,3,toyotamarkii
11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobileomega
20.0,6,198.0,95.0,3102,16.5,74,1,plymouthduster
21.0,6,200.0,2875,17.0,74,1,fordmaverick
19.0,6,232.0,100.0,2901,16.0,74,1,amchornet
15.0,6,250.0,100.0,3336,17.0,74,1,chevroletnova
31.0,4,79.0,67.0,1950,19.0,74,3,datsunb210
26.0,4,122.0,80.0,2451,16.5,74,1,fordpinto
32.0,4,71.0,65.0,1836,21.0,74,3,toyotacorolla1200
25.0,4,140.0,75.0,2542,17.0,74,1,chevroletvega
16.0,6,250.0,100.0,3781,17.0,74,1,chevroletchevellemalibuclassic
16.0,6,258.0,110.0,3632,18.0,74,1,amcmatador
18.0,6,225.0,105.0,3613,16.5,74,1,plymouthsatellitesebring
16.0,8,302.0,140.0,4141,14.0,74,1,fordgrantorino
13.0,8,350.0,150.0,4699,14.5,74,1,buickcenturyluxus(sw)
14.0,8,318.0,150.0,4457,13.5,74,1,dodgecoronetcustom(sw)
14.0,8,302.0,140.0,4638,16.0,74,1,fordgrantorino(sw)
14.0,8,304.0,150.0,4257,15.5,74,1,amcmatador(sw)
29.0,4,98.0,83.0,2219,16.5,74,2,audifox
26.0,4,79.0,67.0,1963,15.5,74,2,volkswagendasher
26.0,4,97.0,78.0,2300,14.5,74,2,opelmanta
31.0,4,76.0,52.0,1649,16.5,74,3,toyotacorona
32.0,4,83.0,61.0,2003,19.0,74,3,datsun710
28.0,4,90.0,75.0,2125,14.5,74,1,dodgecolt
24.0,4,90.0,75.0,2108,15.5,74,2,fiat128
26.0,4,116.0,75.0,2246,14.0,74,2,fiat124tc
24.0,4,120.0,97.0,2489,15.0,74,3,hondacivic
26.0,4,108.0,93.0,2391,15.5,74,3,subaru
31.0,4,79.0,67.0,2000,16.0,74,2,fiatx1.9
19.0,6,225.0,95.0,3264,16.0,75,1,plymouthvaliantcustom
18.0,6,250.0,105.0,3459,16.0,75,1,chevroletnova
15.0,6,250.0,72.0,3432,21.0,75,1,mercurymonarch
15.0,6,250.0,72.0,3158,19.5,75,1,fordmaverick
16.0,8,400.0,170.0,4668,11.5,75,1,pontiaccatalina
15.0,8,350.0,145.0,4440,14.0,75,1,chevroletbelair
16.0,8,318.0,150.0,4498,14.5,75,1,plymouthgrandfury
14.0,8,351.0,148.0,4657,13.5,75,1,fordltd
17.0,6,231.0,110.0,3907,21.0,75,1,buickcentury
16.0,6,250.0,105.0,3897,18.5,75,1,chevroeltchevellemalibu
15.0,6,258.0,110.0,3730,19.0,75,1,amcmatador
18.0,6,225.0,95.0,3785,19.0,75,1,plymouthfury
21.0,6,231.0,110.0,3039,15.0,75,1,buickskyhawk
20.0,8,262.0,110.0,3221,13.5,75,1,chevroletmonza2+2
13.0,8,302.0,129.0,3169,12.0,75,1,fordmustangii
29.0,4,97.0,75.0,2171,16.0,75,3,toyotacorolla
23.0,4,140.0,83.0,2639,17.0,75,1,fordpinto
20.0,6,232.0,100.0,2914,16.0,75,1,amcgremlin
23.0,4,140.0,78.0,2592,18.5,75,1,pontiacastro
24.0,4,134.0,96.0,2702,13.5,75,3,toyotacorona
25.0,4,90.0,71.0,2223,16.5,75,2,volkswagendasher
24.0,4,119.0,97.0,2545,17.0,75,3,datsun710
18.0,6,171.0,97.0,2984,14.5,75,1,fordpinto
29.0,4,90.0,70.0,1937,14.0,75,2,volkswagenrabbit
19.0,6,232.0,90.0,3211,17.0,75,1,amcpacer
23.0,4,115.0,95.0,2694,15.0,75,2,audi100ls
23.0,4,120.0,88.0,2957,17.0,75,2,peugeot504
22.0,4,121.0,98.0,2945,14.5,75,2,volvo244dl
25.0,4,121.0,115.0,2671,13.5,75,2,saab99le
33.0,4,91.0,53.0,1795,17.5,75,3,hondaciviccvcc
28.0,4,107.0,86.0,2464,15.5,76,2,fiat131
25.0,4,116.0,81.0,2220,16.9,76,2,opel1900
25.0,4,140.0,92.0,2572,14.9,76,1,capriii
26.0,4,98.0,79.0,2255,17.7,76,1,dodgecolt
27.0,4,101.0,83.0,2202,15.3,76,2,renault12tl
17.5,8,305.0,140.0,4215,13.0,76,1,chevroletchevellemalibuclassic
16.0,8,318.0,150.0,4190,13.0,76,1,dodgecoronetbrougham
15.5,8,304.0,120.0,3962,13.9,76,1,amcmatador
14.5,8,351.0,152.0,4215,12.8,76,1,fordgrantorino
22.0,6,225.0,100.0,3233,15.4,76,1,plymouthvaliant
22.0,6,250.0,105.0,3353,14.5,76,1,chevroletnova
24.0,6,200.0,81.0,3012,17.6,76,1,fordmaverick
22.5,6,232.0,90.0,3085,17.6,76,1,amchornet
29.0,4,85.0,52.0,2035,22.2,76,1,chevroletchevette
24.5,4,98.0,60.0,2164,22.1,76,1,chevroletwoody
29.0,4,90.0,70.0,1937,14.2,76,2,vwrabbit
33.0,4,91.0,53.0,1795,17.4,76,3,hondacivic
20.0,6,225.0,100.0,3651,17.7,76,1,dodgeaspense
18.0,6,250.0,78.0,3574,21.0,76,1,fordgranadaghia
18.5,6,250.0,110.0,3645,16.2,76,1,pontiacventurasj
17.5,6,258.0,95.0,3193,17.8,76,1,amcpacerd/l
29.5,4,97.0,71.0,1825,12.2,76,2,volkswagenrabbit
32.0,4,85.0,70.0,1990,17.0,76,3,datsunb-210
28.0,4,97.0,75.0,2155,16.4,76,3,toyotacorolla
26.5,4,140.0,72.0,2565,13.6,76,1,fordpinto
20.0,4,130.0,102.0,3150,15.7,76,2,volvo245
13.0,8,318.0,150.0,3940,13.2,76,1,plymouthvolarepremierv8
19.0,4,120.0,88.0,3270,21.9,76,2,peugeot504
19.0,6,156.0,108.0,2930,15.5,76,3,toyotamarkii
16.5,6,168.0,120.0,3820,16.7,76,2,mercedes-benz280s
16.5,8,350.0,180.0,4380,12.1,76,1,cadillacseville
13.0,8,350.0,145.0,4055,12.0,76,1,chevyc10
13.0,8,302.0,130.0,3870,15.0,76,1,fordf108
13.0,8,318.0,150.0,3755,14.0,76,1,dodged100
31.5,4,98.0,68.0,2045,18.5,77,3,hondaaccordcvcc
30.0,4,111.0,80.0,2155,14.8,77,1,buickopelisuzudeluxe
36.0,4,79.0,58.0,1825,18.6,77,2,renault5gtl
25.5,4,122.0,96.0,2300,15.5,77,1,plymoutharrowgs
33.5,4,85.0,70.0,1945,16.8,77,3,datsunf-10hatchback
17.5,8,305.0,145.0,3880,12.5,77,1,chevroletcapriceclassic
17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobilecutlasssupreme
15.5,8,318.0,145.0,4140,13.7,77,1,dodgemonacobrougham
15.0,8,302.0,130.0,4295,14.9,77,1,mercurycougarbrougham
17.5,6,250.0,110.0,3520,16.4,77,1,chevroletconcours
20.5,6,231.0,105.0,3425,16.9,77,1,buickskylark
19.0,6,225.0,100.0,3630,17.7,77,1,plymouthvolarecustom
18.5,6,250.0,98.0,3525,19.0,77,1,fordgranada
16.0,8,400.0,180.0,4220,11.1,77,1,pontiacgrandprixlj
15.5,8,350.0,170.0,4165,11.4,77,1,chevroletmontecarlolandau
15.5,8,400.0,190.0,4325,12.2,77,1,chryslercordoba
16.0,8,351.0,149.0,4335,14.5,77,1,fordthunderbird
24.5,4,151.0,88.0,2740,16.0,77,1,pontiacsunbirdcoupe
26.0,4,97.0,75.0,2265,18.2,77,3,toyotacorollaliftback
25.5,4,140.0,89.0,2755,15.8,77,1,fordmustangii2+2
30.5,4,98.0,63.0,2051,17.0,77,1,chevroletchevette
33.5,4,98.0,83.0,2075,15.9,77,1,dodgecoltm/m
30.0,4,97.0,67.0,1985,16.4,77,3,subarudl
30.5,4,97.0,78.0,2190,14.1,77,2,volkswagendasher
22.0,6,146.0,97.0,2815,14.5,77,3,datsun810
21.5,4,121.0,110.0,2600,12.8,77,2,bmw320i
21.5,3,80.0,110.0,2720,13.5,77,3,mazdarx-4
43.1,4,90.0,48.0,1985,21.5,78,2,volkswagenrabbitcustomdiesel
36.1,4,98.0,66.0,1800,14.4,78,1,fordfiesta
32.8,4,78.0,52.0,1985,19.4,78,3,mazdaglcdeluxe
39.4,4,85.0,70.0,2070,18.6,78,3,datsunb210gx
36.1,4,91.0,60.0,1800,16.4,78,3,hondaciviccvcc
19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobilecutlasssalonbrougham
19.4,8,318.0,140.0,3735,13.2,78,1,dodgediplomat
20.2,8,302.0,139.0,3570,12.8,78,1,mercurymonarchghia
19.2,6,231.0,105.0,3535,19.2,78,1,pontiacphoenixlj
20.5,6,200.0,95.0,3155,18.2,78,1,chevroletmalibu
20.2,6,200.0,85.0,2965,15.8,78,1,fordfairmont(auto)
25.1,4,140.0,88.0,2720,15.4,78,1,fordfairmont(man)
20.5,6,225.0,100.0,3430,17.2,78,1,plymouthvolare
19.4,6,232.0,90.0,3210,17.2,78,1,amcconcord
20.6,6,231.0,105.0,3380,15.8,78,1,buickcenturyspecial
20.8,6,200.0,85.0,3070,16.7,78,1,mercuryzephyr
18.6,6,225.0,110.0,3620,18.7,78,1,dodgeaspen
18.1,6,258.0,120.0,3410,15.1,78,1,amcconcordd/l
19.2,8,305.0,145.0,3425,13.2,78,1,chevroletmontecarlolandau
17.7,6,231.0,165.0,3445,13.4,78,1,buickregalsportcoupe(turbo)
18.1,8,302.0,139.0,3205,11.2,78,1,fordfutura
17.5,8,318.0,140.0,4080,13.7,78,1,dodgemagnumxe
30.0,4,98.0,68.0,2155,16.5,78,1,chevroletchevette
27.5,4,134.0,95.0,2560,14.2,78,3,toyotacorona
27.2,4,119.0,97.0,2300,14.7,78,3,datsun510
30.9,4,105.0,75.0,2230,14.5,78,1,dodgeomni
21.1,4,134.0,95.0,2515,14.8,78,3,toyotacelicagtliftback
23.2,4,156.0,105.0,2745,16.7,78,1,plymouthsapporo
23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobilestarfiresx
23.9,4,119.0,97.0,2405,14.9,78,3,datsun200-sx
20.3,5,131.0,103.0,2830,15.9,78,2,audi5000
17.0,6,163.0,125.0,3140,13.6,78,2,volvo264gl
21.6,4,121.0,115.0,2795,15.7,78,2,saab99gle
16.2,6,163.0,133.0,3410,15.8,78,2,peugeot604sl
31.5,4,89.0,71.0,1990,14.9,78,2,volkswagenscirocco
29.5,4,98.0,68.0,2135,16.6,78,3,hondaaccordlx
21.5,6,231.0,115.0,3245,15.4,79,1,pontiaclemansv6
19.8,6,200.0,85.0,2990,18.2,79,1,mercuryzephyr6
22.3,4,140.0,88.0,2890,17.3,79,1,fordfairmont4
20.2,6,232.0,90.0,3265,18.2,79,1,amcconcorddl6
20.6,6,225.0,110.0,3360,16.6,79,1,dodgeaspen6
17.0,8,305.0,130.0,3840,15.4,79,1,chevroletcapriceclassic
17.6,8,302.0,129.0,3725,13.4,79,1,fordltdlandau
16.5,8,351.0,138.0,3955,13.2,79,1,mercurygrandmarquis
18.2,8,318.0,135.0,3830,15.2,79,1,dodgest.regis
16.9,8,350.0,155.0,4360,14.9,79,1,buickestatewagon(sw)
15.5,8,351.0,142.0,4054,14.3,79,1,fordcountrysquire(sw)
19.2,8,267.0,125.0,3605,15.0,79,1,chevroletmalibuclassic(sw)
18.5,8,360.0,150.0,3940,13.0,79,1,chryslerlebarontown@country(sw)
31.9,4,89.0,71.0,1925,14.0,79,2,vwrabbitcustom
34.1,4,86.0,65.0,1975,15.2,79,3,maxdaglcdeluxe
35.7,4,98.0,80.0,1915,14.4,79,1,dodgecolthatchbackcustom
27.4,4,121.0,80.0,2670,15.0,79,1,amcspiritdl
25.4,5,183.0,77.0,3530,20.1,79,2,mercedesbenz300d
23.0,8,350.0,125.0,3900,17.4,79,1,cadillaceldorado
27.2,4,141.0,71.0,3190,24.8,79,2,peugeot504
23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobilecutlasssalonbrougham
34.2,4,105.0,70.0,2200,13.2,79,1,plymouthhorizon
34.5,4,105.0,70.0,2150,14.9,79,1,plymouthhorizontc3
31.8,4,85.0,65.0,2020,19.2,79,3,datsun210
37.3,4,91.0,69.0,2130,14.7,79,2,fiatstradacustom
28.4,4,151.0,90.0,2670,16.0,79,1,buickskylarklimited
28.8,6,173.0,115.0,2595,11.3,79,1,chevroletcitation
26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobileomegabrougham
33.5,4,151.0,90.0,2556,13.2,79,1,pontiacphoenix
41.5,4,98.0,76.0,2144,14.7,80,2,vwrabbit
38.1,4,89.0,60.0,1968,18.8,80,3,toyotacorollatercel
32.1,4,98.0,70.0,2120,15.5,80,1,chevroletchevette
37.2,4,86.0,65.0,2019,16.4,80,3,datsun310
28.0,4,151.0,90.0,2678,16.5,80,1,chevroletcitation
26.4,4,140.0,88.0,2870,18.1,80,1,fordfairmont
24.3,4,151.0,90.0,3003,20.1,80,1,amcconcord
19.1,6,225.0,90.0,3381,18.7,80,1,dodgeaspen
34.3,4,97.0,78.0,2188,15.8,80,2,audi4000
29.8,4,134.0,90.0,2711,15.5,80,3,toyotacoronaliftback
31.3,4,120.0,75.0,2542,17.5,80,3,mazda626
37.0,4,119.0,92.0,2434,15.0,80,3,datsun510hatchback
32.2,4,108.0,75.0,2265,15.2,80,3,toyotacorolla
46.6,4,86.0,65.0,2110,17.9,80,3,mazdaglc
27.9,4,156.0,105.0,2800,14.4,80,1,dodgecolt
40.8,4,85.0,65.0,2110,19.2,80,3,datsun210
44.3,4,90.0,48.0,2085,21.7,80,2,vwrabbitc(diesel)
43.4,4,90.0,48.0,2335,23.7,80,2,vwdasher(diesel)
36.4,5,121.0,67.0,2950,19.9,80,2,audi5000s(diesel)
30.0,4,146.0,67.0,3250,21.8,80,2,mercedes-benz240d
44.6,4,91.0,67.0,1850,13.8,80,3,hondacivic1500gl
40.9,4,85.0,1835,17.3,80,2,renaultlecardeluxe
33.8,4,97.0,67.0,2145,18.0,80,3,subarudl
29.8,4,89.0,62.0,1845,15.3,80,2,vokswagenrabbit
32.7,6,168.0,132.0,2910,11.4,80,3,datsun280-zx
23.7,3,70.0,100.0,2420,12.5,80,3,mazdarx-7gs
35.0,4,122.0,88.0,2500,15.1,80,2,triumphtr7coupe
23.6,4,140.0,2905,14.3,80,1,fordmustangcobra
32.4,4,107.0,72.0,2290,17.0,80,3,hondaaccord
27.2,4,135.0,84.0,2490,15.7,81,1,plymouthreliant
26.6,4,151.0,84.0,2635,16.4,81,1,buickskylark
25.8,4,156.0,92.0,2620,14.4,81,1,dodgearieswagon(sw)
23.5,6,173.0,110.0,2725,12.6,81,1,chevroletcitation
30.0,4,135.0,84.0,2385,12.9,81,1,plymouthreliant
39.1,4,79.0,58.0,1755,16.9,81,3,toyotastarlet
39.0,4,86.0,64.0,1875,16.4,81,1,plymouthchamp
35.1,4,81.0,60.0,1760,16.1,81,3,hondacivic1300
32.3,4,97.0,67.0,2065,17.8,81,3,subaru
37.0,4,85.0,65.0,1975,19.4,81,3,datsun210mpg
37.7,4,89.0,62.0,2050,17.3,81,3,toyotatercel
34.1,4,91.0,68.0,1985,16.0,81,3,mazdaglc4
34.7,4,105.0,63.0,2215,14.9,81,1,plymouthhorizon4
34.4,4,98.0,65.0,2045,16.2,81,1,fordescort4w
29.9,4,98.0,65.0,2380,20.7,81,1,fordescort2h
33.0,4,105.0,74.0,2190,14.2,81,2,volkswagenjetta
34.5,4,100.0,2320,15.8,81,2,renault18i
33.7,4,107.0,75.0,2210,14.4,81,3,hondaprelude
32.4,4,108.0,75.0,2350,16.8,81,3,toyotacorolla
32.9,4,119.0,100.0,2615,14.8,81,3,datsun200sx
31.6,4,120.0,74.0,2635,18.3,81,3,mazda626
28.1,4,141.0,80.0,3230,20.4,81,2,peugeot505sturbodiesel
,4,121.0,110.0,2800,15.4,81,2,saab900s
30.7,6,145.0,76.0,3160,19.6,81,2,volvodiesel
25.4,6,168.0,116.0,2900,12.6,81,3,toyotacressida
24.2,6,146.0,120.0,2930,13.8,81,3,datsun810maxima
22.4,6,231.0,110.0,3415,15.8,81,1,buickcentury
26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobilecutlassls
20.2,6,200.0,88.0,3060,17.1,81,1,fordgranadagl
17.6,6,225.0,85.0,3465,16.6,81,1,chryslerlebaronsalon
28.0,4,112.0,88.0,2605,19.6,82,1,chevroletcavalier
27.0,4,112.0,88.0,2640,18.6,82,1,chevroletcavalierwagon
34.0,4,112.0,88.0,2395,18.0,82,1,chevroletcavalier2-door
31.0,4,112.0,85.0,2575,16.2,82,1,pontiacj2000sehatchback
29.0,4,135.0,84.0,2525,16.0,82,1,dodgeariesse
27.0,4,151.0,90.0,2735,18.0,82,1,pontiacphoenix
24.0,4,140.0,92.0,2865,16.4,82,1,fordfairmontfutura
23.0,4,151.0,3035,20.5,82,1,amcconcorddl
36.0,4,105.0,74.0,1980,15.3,82,2,volkswagenrabbitl
37.0,4,91.0,68.0,2025,18.2,82,3,mazdaglccustoml
31.0,4,91.0,68.0,1970,17.6,82,3,mazdaglccustom
38.0,4,105.0,63.0,2125,14.7,82,1,plymouthhorizonmiser
36.0,4,98.0,70.0,2125,17.3,82,1,mercurylynxl
36.0,4,120.0,88.0,2160,14.5,82,3,nissanstanzaxe
36.0,4,107.0,75.0,2205,14.5,82,3,hondaaccord
34.0,4,108.0,70.0,2245,16.9,82,3,toyotacorolla
38.0,4,91.0,67.0,1965,15.0,82,3,hondacivic
38.0,4,91.0,67.0,1995,16.2,82,3,datsun310gx
25.0,6,181.0,110.0,2945,16.4,82,1,buickcenturylimited
38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobilecutlassciera(diesel)
26.0,4,156.0,92.0,2585,14.5,82,1,chryslerlebaronmedallion
22.0,6,232.0,112.0,2835,14.7,82,1,fordgranadal
32.0,4,144.0,96.0,2665,13.9,82,3,toyotacelicagt
36.0,4,135.0,84.0,2370,13.0,82,1,dodgecharger2.2
27.0,4,151.0,90.0,2950,17.3,82,1,chevroletcamaro
27.0,4,140.0,86.0,2790,15.6,82,1,fordmustanggl
44.0,4,97.0,52.0,2130,24.6,82,2,vwpickup
32.0,4,135.0,84.0,2295,11.6,82,1,dodgerampage
28.0,4,120.0,79.0,2625,18.6,82,1,fordranger
31.0,4,119.0,82.0,2720,19.4,82,1,chevys-10
